inventor_id,name,country
fl:jo_ln:baker-77,Jonathan M. Baker,Unknown
fl:fr_ln:garbelli-1,Francesco Garbelli,Unknown
fl:ro_ln:rutledge-2,Robert A. Rutledge,Unknown
fl:pa_ln:koptilin-1,Pavel Koptilin,Unknown
fl:je_ln:jacquinet-1,Jean-Claude Jacquinet,Unknown
fl:an_ln:auvil-2,Andrew L. Auvil,Unknown
fl:st_ln:hunt-9,Stephen L. Hunt,Unknown
fl:an_ln:tang-15,Andrew T. K. Tang,Unknown
fl:mi_ln:samuel-5,Michael Vincent Samuel,Unknown
fl:ez_ln:darshan-1,Ezra Darshan,Unknown
fl:ri_ln:peres-1,Richard Peres,Unknown
fl:yu_ln:oda-11,Yuji Oda,Unknown
fl:la_ln:ulander-2,Lars Johan Andreas Ulander,Unknown
fl:ky_ln:lee-638,Kyudae Lee,Unknown
fl:ju_ln:takagi-11,Junji Takagi,Unknown
fl:yo_ln:jun-66,Youngkyun Jun,Unknown
fl:mi_ln:alemany-1,Miguel Alemany,Unknown
fl:ro_ln:wacker-1,Robert L. Wacker,Unknown
fl:da_ln:neff-1,Danielle K. Neff,Unknown
fl:yi_ln:wang-291,Yi Wang,Unknown
fl:be_ln:harrison-1,Beverly L. Harrison,Unknown
fl:ba_ln:vanhell-1,Bart Van Hell,Unknown
fl:pa_ln:kalyanapu-1,Patrick Kalyanapu,Unknown
fl:gl_ln:amatucci-1,Glenn G. Amatucci,Unknown
fl:ja_ln:delker-2,Jason R. Delker,Unknown
fl:wi_ln:meng-1,Wilson Meng,Unknown
fl:th_ln:mcclellan-3,Thomas A. McClellan,Unknown
fl:gu_ln:weng-7,Guojun Weng,Unknown
fl:ji_ln:park-179,Jin-Sung Park,Unknown
000f0k6brgval6kr9agzjlgcg,Lynda M. Salvetti,Unknown
fl:yo_ln:son-162,Young-Ran Son,Unknown
000f3mi5t5lpa1ch45ncsfqtz,Semion H. Mazor,Unknown
fl:ra_ln:venkataramani-1,Raman Venkataramani,Unknown
fl:ya_ln:ko-1,Ya-Ping Ko,Unknown
fl:vi_ln:ramamoorthy-2,Vimal Ramamoorthy,Unknown
fl:bo_ln:ormsbee-1,Bowden Ormsbee,Unknown
fl:ro_ln:alini-1,Roberto Alini,Unknown
fl:jo_ln:buysman-2,John Jason Buysman,Unknown
fl:ru_ln:shi-11,Ruiwen Shi,Unknown
fl:ca_ln:phillips-23,Cary Phillips,Unknown
000fjkbab9nljqyqpy20ktebx,Seved Ahmad Mojahed Gomnam,Unknown
fl:sr_ln:punna-1,Sreenivas Punna,Unknown
fl:mi_ln:grogan-1,Michael J. Grogan,Unknown
fl:mi_ln:moore-10,Michael Edward Moore,Unknown
fl:ma_ln:horiguchi-17,Mari Horiguchi,Unknown
fl:se_ln:jurdana-1,Sergio Jurdana,Unknown
fl:ja_ln:choi-164,Jaeman Choi,Unknown
fl:ma_ln:barker-12,Mario John Barker,Unknown
fl:ha_ln:takahashi-27,Haruhiko Takahashi,Unknown
fl:ki_ln:han-39,Ki-Young Han,Unknown
fl:jo_ln:puryear-2,John W. Puryear,Unknown
fl:da_ln:murti-1,Dasarao K. Murti,Unknown
fl:ja_ln:tour-1,James M. Tour,Unknown
fl:pi_ln:payraud-1,Pierre Payraud,Unknown
fl:te_ln:asayama-1,Tetsuya Asayama,Unknown
fl:ka_ln:lee-164,Kang Hyun Lee,Unknown
fl:ma_ln:zeiler-4,Martin Zeiler,Unknown
fl:le_ln:kononov-1,Leon Kononov,Unknown
fl:mo_ln:sato-1,Moriyuki Sato,Unknown
fl:mo_ln:hassan-31,Morris Hassan,Unknown
fl:wa_ln:barnette-2,Wayne D. Barnette,Unknown
fl:em_ln:watanabe-2,Emi Watanabe,Unknown
fl:xi_ln:zhang-565,Xin Zhang,Unknown
fl:pe_ln:hovell-1,Peter Hovell,Unknown
fl:mi_ln:chen-214,Ming-Yu Chen,Unknown
fl:ar_ln:pun-1,Arthur Fong-Yuen Pun,Unknown
fl:pr_ln:mehta-23,Pranav Mehta,Unknown
fl:mi_ln:boraas-1,Michael A. Boraas,Unknown
000hl8sepandlrjbxh7oea7wh,John Riso,Unknown
fl:ar_ln:wojtalik-1,Artur Wojtalik,Unknown
fl:ta_ln:toida-4,Takumi TOIDA,Unknown
fl:st_ln:weinstein-1,Stephen B. Weinstein,Unknown
fl:al_ln:hagemeyer-1,Alfred Hagemeyer,Unknown
fl:ni_ln:manaresi-2,Nicolò Manaresi,Unknown
fl:to_ln:konuma-2,Toshimitsu Konuma,Unknown
fl:ra_ln:dongara-3,Rajeshwer Dongara,Unknown
